#x1,y1,x2,y2
0,459,10,460
10,460,52,648
52,648,75,613
#75,613,136,613
136,613,196,684
196,684,263,601
#263,601,316,601
316,601,319,544
319,544,348,528
348,528,382,691
#382,691,429,691
429,691,479,603
479,603,488,621
#488,621,533,621
533,621,548,600
548,600,607,644
607,644,658,588
#658,588,737,588
737,588,786,698
#786,698,842,698
842,698,876,565
#876,565,910,565
910,565,949,669
#949,669,1001,669
1001,669,1039,549
#1039,549,1103,549
1103,549,1145,612
1145,612,1156,643
1156,643,1133,676
1133,676,1139,693
#1139,693,1179,693
1179,693,1203,644
1203,644,1240,600
1240,600,1279,589
